mileage_m,side,min_vertex_dist,area
58993.779,右,0.417,40.83
59261.393,左,24.743,13.818
59279.636,左,15.818,309.028
59281.813,左,26.567,110.677
59314.779,左,19.961,294.821
59335.418,左,27.759,124.433
59339.106,左,20.178,177.856
59357.219,左,20.172,167.703
59372.201,左,21.794,96.512
59384.311,左,26.454,111.098
59387.846,左,21.018,137.359
59394.225,右,20.035,4.735
59404.088,右,27.08,19.336
59405.056,右,32.384,40.579
59414.068,右,22.407,100.301
59416.58,右,31.803,132.321
59426.096,右,30.958,47.836
59427.756,右,20.831,109.213
59433.215,右,30.4,32.443
59437.412,右,20.728,115.264
59450.943,左,19.147,14.351
59454.754,左,2.42,83.165
59459.42,右,0.933,14.451
59895.864,右,31.07,51.563
59913.204,右,24.556,19.238
59914.529,右,11.671,131.79
59925.682,右,18.097,152.672
59938.54,右,26.566,124.884
60000.222,左,28.529,229.046
60030.541,左,8.554,13.845
60032.049,左,0.3,27.625
60040.606,左,0.3,50.327
60040.98,左,5.209,17.477
60044.607,左,6.358,181.276
61044.123,右,22.992,16.957
61076.162,右,0.027,1246.243
61099.458,左,1.53,925.559
61123.915,右,1.53,212.598
61138.755,右,3.676,836.561
61149.184,左,15.474,64.437
61223.355,左,21.253,23.771
61228.765,左,18.707,51.219
61232.663,右,28.395,122.234
61242.193,右,29.286,12.65
61368.896,左,12.7,29.126
61406.411,左,19.441,114.322
61408.642,左,27.487,94.588
61425.389,左,29.204,95.729
61435.078,左,8.817,33.665
61450.328,左,9.782,190.162
61452.561,左,23.685,150.505
61462.499,左,6.69,123.397
61467.672,左,11.876,170.215
61479.751,左,8.758,134.144
61483.084,左,16.519,163.56
61495.019,左,8.346,112.092
61496.938,左,17.444,141.44
61510.966,左,19.591,96.135
61513.253,左,9.76,127.166
61587.866,右,13.833,84.275
61589.619,右,23.666,73.721
61597.475,右,23.227,97.605
61598.87,左,0.043,125.349
61602.96,左,9.126,146.897
61604.794,右,26.236,33.272
61610.196,左,2.816,146.834
61617.428,左,7.391,113.845
61876.538,右,14.683,590.795
61880.171,右,25.16,136.599
61891.931,右,26.663,153.197
62070.75,右,19.765,112.391
62075.044,右,21.318,179.642
62141.295,左,20.788,150.347
62162.486,左,25.888,30.378
62169.367,左,4.002,303.888
62173.464,左,20.987,103.557
62185.104,左,17.8,81.832
62188.398,左,5.355,147.708
62200.29,左,10.348,122.171
62203.55,左,2.744,136.488
62225.101,左,9.88,173.248
62230.788,左,17.785,90.816
62771.494,右,29.945,36.004
62781.343,右,31.86,85.166
62806.684,左,0.036,288.771
62816.971,左,25.51,89.652
62821.388,左,13.207,211.877
62865.522,左,0.471,151.535
62875.339,左,0.471,129.83
62877.74,右,1.859,115.154
62883.916,右,1.773,121.775
62886.203,右,8.998,114.064
62894.729,右,3.226,98.325
62901.052,右,19.036,227.705
62903.159,右,12.903,111.113
63188.972,右,5.763,9.078
63189.141,左,9.554,112.275
63197.828,左,8.204,102.754
63209.581,左,0.859,43.685
63210.695,左,4.411,138.759
63222.904,左,2.53,223.735
63245.235,左,0.249,144.095
63249.012,右,0.249,156.471
63344.398,右,17.723,141.158
63349.49,右,17.896,370.955
63392.595,右,27.485,104.222
63393.615,左,10.942,162.587
63395.577,左,19.37,103.931
63398.461,右,19.116,134.119
63404.76,右,24.931,104.712
63410.195,左,9.073,162.809
63411.871,右,27.554,92.799
63419.793,左,1.256,58.565
63429.255,左,9.667,138.482
63433.48,左,0.269,43.831
63436.656,右,0.444,41.643
63444.756,左,0.003,49.059
63445.238,右,1.901,50.329
63448.754,左,0.645,76.954
63450.47,左,14.709,77.517
63468.809,右,20.759,58.065
63469.696,右,11.793,31.443
63481.034,右,12.31,164.314
